objid,ra,dec,u,g,u-g,r,i,z,r-i,i-z
1.24E+18,229.7871599,2.105001145,25.72857,22.17715,3.55143,21.0173,20.5877,20.43002,0.4296,0.15768
1.24E+18,229.7784461,2.122784194,22.89143,21.55384,1.337587,20.93587,20.89889,20.91555,0.03698,-0.01666
1.24E+18,229.7793888,2.122674541,23.58105,22.0786,1.502451,21.44218,21.14745,22.74044,0.29473,-1.59299
1.24E+18,229.7815177,2.124426138,25.01944,22.28917,2.730265,21.5618,21.16818,20.80692,0.39362,0.36126
1.24E+18,229.781728,2.117352676,24.38338,22.39224,1.991142,21.60327,21.46733,22.82705,0.13594,-1.35972
1.24E+18,229.7821936,2.12264028,23.91096,22.60841,1.302549,21.70261,21.53218,21.78367,0.17043,-0.25149
1.24E+18,229.7828104,2.123713253,24.84087,23.1733,1.66757,22.24182,21.55741,21.56051,0.68441,-0.0031
1.24E+18,229.7865675,2.109768912,24.11108,23.41916,0.691925,22.35567,21.95864,22.56466,0.39703,-0.60602
1.24E+18,229.7892165,2.118634292,23.70118,23.50977,0.1914063,22.60054,21.97956,22.61792,0.62098,-0.63836
1.24E+18,229.7812291,2.120244137,24.21299,24.23525,-0.02225304,22.82076,22.18854,22.84414,0.63222,-0.6556
1.24E+18,229.7843086,2.118040258,24.40276,24.83836,-0.4356022,23.1036,23.68395,22.90429,-0.58035,0.77966
1.24E+18,229.795222,2.083170752,18.5661,17.25604,1.310064,16.73471,16.51938,16.4146,0.21533,0.10478
1.24E+18,229.7971572,2.084591349,24.87083,23.8324,1.038435,21.99943,21.93682,22.57902,0.06261,-0.6422
1.24E+18,229.794489,2.052024517,18.00636,16.56961,1.436743,16.00397,15.76307,15.65342,0.2409,0.10965
1.24E+18,229.7964802,2.056977431,18.93365,17.73907,1.194582,17.23659,17.03023,16.94954,0.20636,0.08069
1.24E+18,229.7948122,2.053168097,20.3713,19.46604,0.9052677,19.39974,20.25107,19.38766,-0.85133,0.86341
1.24E+18,229.7940964,2.057623096,21.32343,20.1564,1.16703,19.71974,19.65196,19.44588,0.06778,0.20608
1.24E+18,229.7967612,2.056061247,21.67254,20.36571,1.306835,19.82668,19.68217,19.45424,0.14451,0.22793
1.24E+18,229.7969761,2.058962974,22.57981,21.02807,1.551746,20.45874,20.26133,20.0954,0.19741,0.16593
1.24E+18,229.79513,2.055427918,23.85532,21.36655,2.48877,20.99427,20.8089,20.37287,0.18537,0.43603
1.24E+18,229.7953806,2.054051537,24.63475,23.83493,0.799818,21.83568,21.24748,21.55867,0.5882,-0.31119
1.24E+18,229.7959119,2.054064218,24.63368,23.53978,1.093893,22.02396,21.413,22.06775,0.61096,-0.65475
1.24E+18,229.7949074,1.996064611,17.07534,15.5399,1.535439,14.86705,14.60181,14.44707,0.26524,0.15474
1.24E+18,229.8003819,1.998067208,19.93193,18.92505,1.006876,18.60481,18.49639,18.55009,0.10842,-0.0537
1.24E+18,229.7998911,1.996693971,20.69919,19.68927,1.009924,19.29704,19.18194,19.18,0.1151,0.00194
1.24E+18,229.7978982,1.994856044,21.49098,20.47106,1.01992,19.96596,19.80194,19.86205,0.16402,-0.06011
1.24E+18,229.7941705,1.999218012,21.53981,20.53029,1.00952,20.0731,19.97673,19.95772,0.09637,0.01901
1.24E+18,229.7939188,1.994110787,24.63686,22.17694,2.459915,20.51224,24.36527,20.27978,-3.85303,4.08549
1.24E+18,229.7953524,2.000667137,22.42061,21.16326,1.257343,20.59935,20.45039,20.41415,0.14896,0.03624
1.24E+18,229.7958678,2.000456643,24.83791,22.49129,2.346617,21.78072,21.28943,21.65082,0.49129,-0.36139
1.24E+18,229.7964959,1.998943191,23.55186,22.11133,1.440523,21.47879,21.04368,20.97824,0.43511,0.06544
1.24E+18,229.8010644,1.995233591,24.84186,22.63941,2.202452,21.73085,21.30282,20.85222,0.42803,0.4506
1.24E+18,229.8006389,1.995472016,23.81821,22.86277,0.9554367,21.61369,21.36707,21.13265,0.24662,0.23442
1.24E+18,229.7971243,2.000475445,24.20296,22.89623,1.306723,22.05731,21.72458,22.06216,0.33273,-0.33758
1.24E+18,229.7991172,1.995986011,25.80591,23.63938,2.166531,22.62062,22.04751,22.3843,0.57311,-0.33679
1.24E+18,229.799729,1.995597672,24.54402,24.27176,0.2722511,23.69979,22.29229,22.15856,1.4075,0.13373
1.24E+18,229.7925977,2.000249839,24.96389,22.9659,1.997993,25.22722,24.5281,22.76123,0.69912,1.76687
1.24E+18,229.8001863,1.988006629,19.85821,18.95113,0.907074,18.6207,18.51053,18.50003,0.11017,0.0105
1.24E+18,229.8020036,2.078361047,17.42442,15.93254,1.49188,15.28776,15.03304,14.89866,0.25472,0.13438
1.24E+18,229.799437,2.078926649,20.47383,19.5736,0.9002342,19.2377,19.13805,18.93153,0.09965,0.20652
1.24E+18,229.8051307,2.0022561,17.7921,16.3328,1.459301,15.74885,15.49949,15.36956,0.24936,0.12993
1.24E+18,229.8029186,2.004589259,19.74373,18.79643,0.9473019,18.48496,18.40042,18.30288,0.08454,0.09754
1.24E+18,229.8081655,2.073772923,19.13301,17.92854,1.204475,17.46152,17.27116,17.18167,0.19036,0.08949
1.24E+18,229.8064108,2.073306942,24.88941,23.0323,1.857107,22.0883,21.67733,22.54854,0.41097,-0.87121
1.24E+18,229.7530818,2.146910987,19.97505,19.01887,0.9561749,18.71654,18.64063,18.57989,0.07591,0.06074
1.24E+18,229.7531256,2.145752678,23.78006,21.12573,2.654329,20.57581,20.41511,20.49671,0.1607,-0.0816
1.24E+18,229.7489903,1.999374941,24.10763,21.53011,2.577515,20.72788,20.60345,20.24733,0.12443,0.35612
1.24E+18,229.7521799,1.997820063,22.47756,21.38103,1.096531,20.65532,20.45427,20.10744,0.20105,0.34683
1.24E+18,229.7523142,1.999354132,24.85953,22.45623,2.403307,21.32429,21.08994,20.88944,0.23435,0.2005
