objid,u,g,r,i,z,u-g,g-r,r-i
1.24E+18,19.17036,17.85089,17.47571,17.31633,17.37443,1.31947,0.37518,0.15938
1.24E+18,19.10709,18.00571,17.85341,17.761,17.98974,1.10138,0.1523,0.09241
1.24E+18,19.1685,18.20169,17.90128,17.77133,17.76863,0.96681,0.30041,0.12995
1.24E+18,19.24013,18.24066,17.97899,17.8434,17.88745,0.99947,0.26167,0.13559
1.24E+18,19.50926,18.44402,18.16936,17.97389,18.19704,1.06524,0.27466,0.19547
1.24E+18,20.15343,18.9218,18.72037,19.27713,22.82684,1.23163,0.20143,-0.55676
1.24E+18,19.75837,22.07326,21.43948,21.8432,20.80979,-2.31489,0.63378,-0.40372
1.24E+18,27.03843,28.0106,27.43839,17.09027,24.3832,-0.97217,0.57221,10.34812
1.24E+18,23.69303,24.35049,22.53712,22.01056,22.45012,-0.65746,1.81337,0.52656
1.24E+18,19.95943,19.24643,19.02821,18.93929,19.04205,0.713,0.21822,0.08892
1.24E+18,23.93511,20.90761,19.6143,18.99997,18.66589,3.0275,1.29331,0.61433
1.24E+18,20.76696,19.80149,19.5358,19.43463,19.5216,0.96547,0.26569,0.10117
1.24E+18,22.52405,20.88806,20.42007,20.12614,20.43374,1.63599,0.46799,0.29393
1.24E+18,23.81372,23.73376,23.07658,23.37217,22.90598,0.07996,0.65718,-0.29559
1.24E+18,20.70837,19.8316,19.54815,19.41294,19.39066,0.87677,0.28345,0.13521
1.24E+18,21.70835,21.00553,20.56664,20.4079,20.75528,0.70282,0.43889,0.15874
1.24E+18,25.27657,23.52129,23.30788,21.92062,22.56938,1.75528,0.21341,1.38726
1.24E+18,23.57836,23.30965,22.45389,22.47761,22.26733,0.26871,0.85576,-0.02372
1.24E+18,18.00192,16.92619,16.47626,16.29761,16.22935,1.07573,0.44993,0.17865
1.24E+18,19.11917,18.06199,17.65208,17.47388,17.38967,1.05718,0.40991,0.1782
1.24E+18,17.77803,16.61661,16.13719,15.90938,15.81464,1.16142,0.47942,0.22781
1.24E+18,15.68922,14.45122,14.54582,13.94519,13.93382,1.238,-0.0946,0.60063
1.24E+18,20.64967,19.71828,19.47223,19.31851,19.33263,0.93139,0.24605,0.15372
1.24E+18,24.63461,23.20829,21.67319,20.50377,19.73769,1.42632,1.5351,1.16942
1.24E+18,24.55246,23.62615,24.32723,24.15664,22.54034,0.92631,-0.70108,0.17059
1.24E+18,19.37793,18.42767,18.24176,18.22509,18.16546,0.95026,0.18591,0.01667
1.24E+18,20.0216,19.22372,18.90109,18.80165,18.86018,0.79788,0.32263,0.09944
1.24E+18,20.60139,19.70189,19.42915,19.32278,19.3251,0.8995,0.27274,0.10637
1.24E+18,25.14762,22.37726,21.51694,21.15798,20.79943,2.77036,0.86032,0.35896
1.24E+18,25.55655,22.40949,20.79709,19.39899,18.63387,3.14706,1.6124,1.3981
1.24E+18,24.65219,22.6216,21.0054,20.47999,20.10818,2.03059,1.6162,0.52541
1.24E+18,18.546,16.74219,15.99782,15.68833,15.50392,1.80381,0.74437,0.30949
1.24E+18,22.17538,21.88853,21.92825,21.66572,21.25008,0.28685,-0.03972,0.26253
