#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2452 9.7097E-05 9.7097E-05  -2.32   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.500 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 182  0.861716  3.7554  3.4016  0.9468  3.7067  2.8006  2.4031  2.2648  2.2164
 183  0.861883  3.7534  3.3834  0.9569  3.6952  2.7822  2.3777  2.2360  2.1852
 184  0.862047  3.7516  3.3656  0.9676  3.6816  2.7617  2.3508  2.2059  2.1528
 185  0.862207  3.7500  3.3480  0.9789  3.6660  2.7396  2.3226  2.1748  2.1197
 186  0.862363  3.7485  3.3307  0.9905  3.6484  2.7160  2.2936  2.1432  2.0862
 187  0.862517  3.7472  3.3136  1.0025  3.6287  2.6907  2.2636  2.1110  2.0524
 188  0.862669  3.7461  3.2968  1.0147  3.6077  2.6646  2.2333  2.0787  2.0185
 189  0.862818  3.7450  3.2801  1.0271  3.5852  2.6374  2.2025  2.0460  1.9846
 190  0.862967  3.7440  3.2638  1.0397  3.5615  2.6093  2.1712  2.0131  1.9505
 191  0.863113  3.7431  3.2475  1.0525  3.5371  2.5809  2.1397  1.9802  1.9164
 192  0.863260  3.7423  3.2314  1.0652  3.5118  2.5517  2.1080  1.9471  1.8823
 193  0.863404  3.7415  3.2154  1.0782  3.4861  2.5223  2.0760  1.9139  1.8482
 194  0.863550  3.7408  3.1997  1.0910  3.4597  2.4924  2.0439  1.8807  1.8141
 195  0.863694  3.7401  3.1841  1.1040  3.4330  2.4624  2.0118  1.8475  1.7800
 196  0.863837  3.7395  3.1686  1.1170  3.4058  2.4321  1.9796  1.8142  1.7460
 197  0.863981  3.7388  3.1532  1.1301  3.3785  2.4015  1.9472  1.7809  1.7120
 198  0.864124  3.7383  3.1379  1.1432  3.3508  2.3708  1.9147  1.7476  1.6779
 199  0.864267  3.7378  3.1225  1.1564  3.3229  2.3399  1.8822  1.7143  1.6439
 200  0.864409  3.7372  3.1074  1.1695  3.2947  2.3088  1.8496  1.6808  1.6098
 201  0.864551  3.7367  3.0922  1.1827  3.2663  2.2775  1.8167  1.6473  1.5756
 202  0.864692  3.7362  3.0770  1.1960  3.2376  2.2460  1.7837  1.6135  1.5412
 203  0.864832  3.7357  3.0617  1.2094  3.2087  2.2143  1.7505  1.5796  1.5068
 204  0.864971  3.7352  3.0465  1.2228  3.1795  2.1824  1.7173  1.5456  1.4721
 205  0.865110  3.7348  3.0312  1.2363  3.1502  2.1502  1.6838  1.5114  1.4374
 206  0.865246  3.7343  3.0158  1.2500  3.1203  2.1176  1.6499  1.4768  1.4023
 207  0.865380  3.7339  3.0002  1.2639  3.0901  2.0845  1.6155  1.4417  1.3666
 208  0.865513  3.7334  2.9842  1.2779  3.0599  2.0513  1.5807  1.4062  1.3305
 209  0.865642  3.7329  2.9681  1.2921  3.0296  2.0177  1.5455  1.3702  1.2939
 210  0.865771  3.7324  2.9520  1.3063  2.9989  1.9839  1.5101  1.3341  1.2571
 211  0.865897  3.7319  2.9357  1.3208  2.9680  1.9497  1.4743  1.2975  1.2199
 212  0.866021  3.7314  2.9189  1.3354  2.9372  1.9154  1.4381  1.2604  1.1821
 213  0.866141  3.7309  2.9022  1.3503  2.9051  1.8800  1.4012  1.2226  1.1438
 214  0.866259  3.7304  2.8853  1.3653  2.8727  1.8442  1.3638  1.1845  1.1050
 215  0.866372  3.7299  2.8677  1.3806  2.8405  1.8083  1.3259  1.1456  1.0654
 216  0.866483  3.7293  2.8503  1.3960  2.8075  1.7717  1.2875  1.1064  1.0255
 217  0.866509  3.7292  2.8461  1.3997  2.7995  1.7628  1.2783  1.0969  1.0160
 218  0.866535  3.7291  2.8419  1.4035  2.7914  1.7540  1.2690  1.0875  1.0063
 219  0.866561  3.7289  2.8377  1.4072  2.7834  1.7451  1.2597  1.0780  0.9967
 220  0.866586  3.7288  2.8335  1.4110  2.7754  1.7362  1.2504  1.0685  0.9870
 221  0.866612  3.7287  2.8293  1.4147  2.7673  1.7273  1.2410  1.0589  0.9773
 222  0.866637  3.7286  2.8250  1.4185  2.7593  1.7184  1.2317  1.0493  0.9675
 223  0.866663  3.7285  2.8207  1.4223  2.7513  1.7094  1.2222  1.0396  0.9577
 224  0.866688  3.7283  2.8163  1.4261  2.7433  1.7005  1.2127  1.0300  0.9478
 225  0.866714  3.7282  2.8120  1.4300  2.7351  1.6913  1.2032  1.0202  0.9378
 226  0.866738  3.7281  2.8076  1.4338  2.7269  1.6823  1.1936  1.0104  0.9279
 227  0.866977  3.7267  2.7641  1.4721  2.6463  1.5922  1.0987  0.9131  0.8288
 228  0.867206  3.7253  2.7187  1.5121  2.5625  1.4981  0.9994  0.8114  0.7254
 229  0.867428  3.7239  2.6715  1.5538  2.4749  1.3999  0.8960  0.7055  0.6176
 230  0.867621  3.7226  2.6267  1.5934  2.3926  1.3072  0.7981  0.6052  0.5155
 231  0.867806  3.7212  2.5804  1.6342  2.3081  1.2115  0.6971  0.5016  0.4101
 232  0.867968  3.7199  2.5367  1.6727  2.2286  1.1213  0.6018  0.4041  0.3107
 233  0.868129  3.7185  2.4898  1.7138  2.1440  1.0250  0.4999  0.2996  0.2045
 234  0.868275  3.7169  2.4432  1.7544  2.0624  0.9309  0.3999  0.1970  0.0997
 235  0.868407  3.7154  2.3975  1.7940  1.9833  0.8391  0.3022  0.0966 -0.0026
 236  0.868532  3.7138  2.3511  1.8344  1.9032  0.7460  0.2030 -0.0054 -0.1067
 237  0.868648  3.7122  2.3047  1.8744  1.8256  0.6542  0.1044 -0.1069 -0.2105
 238  0.868753  3.7106  2.2589  1.9139  1.7499  0.5639  0.0072 -0.2072 -0.3129
 239  0.868851  3.7091  2.2131  1.9535  1.6753  0.4741 -0.0901 -0.3077 -0.4157
 240  0.868942  3.7075  2.1679  1.9925  1.6028  0.3858 -0.1860 -0.4069 -0.5171
 241  0.869026  3.7059  2.1226  2.0316  1.5312  0.2979 -0.2820 -0.5062 -0.6188
 242  0.869103  3.7044  2.0780  2.0701  1.4612  0.2114 -0.3765 -0.6040 -0.7188
 243  0.869176  3.7029  2.0327  2.1090  1.3911  0.1244 -0.4719 -0.7028 -0.8200
 244  0.869241  3.7013  1.9897  2.1460  1.3243  0.0418 -0.5623 -0.7966 -0.9160
 245  0.869303  3.6997  1.9463  2.1831  1.2584 -0.0405 -0.6528 -0.8903 -1.0121
 246  0.869360  3.6982  1.9051  2.2182  1.1967 -0.1180 -0.7382 -0.9790 -1.1031
 247  0.869413  3.6969  1.8701  2.2481  1.1439 -0.1843 -0.8111 -1.0546 -1.1805
 248  0.869463  3.6960  1.8435  2.2710  1.1025 -0.2351 -0.8668 -1.1124 -1.2398
 249  0.869511  3.6946  1.8060  2.3031  1.0455 -0.3058 -0.9450 -1.1934 -1.3230
 250  0.869557  3.6930  1.7631  2.3395  0.9837 -0.3846 -1.0328 -1.2848 -1.4171
 251  0.869599  3.6915  1.7243  2.3724  0.9295 -0.4555 -1.1122 -1.3675 -1.5022
 252  0.869638  3.6905  1.6965  2.3962  0.8907 -0.5072 -1.1698 -1.4275 -1.5638
 253  0.869677  3.6896  1.6713  2.4176  0.8574 -0.5532 -1.2214 -1.4813 -1.6191
 254  0.869714  3.6881  1.6317  2.4515  0.8039 -0.6257 -1.3029 -1.5663 -1.7065
 255  0.869749  3.6864  1.5864  2.4900  0.7455 -0.7074 -1.3953 -1.6629 -1.8059
 256  0.869780  3.6847  1.5420  2.5275  0.6908 -0.7867 -1.4855 -1.7573 -1.9031
 257  0.869809  3.6830  1.4982  2.5645  0.6393 -0.8640 -1.5740 -1.8502 -1.9988
 258  0.869835  3.6813  1.4556  2.6004  0.5915 -0.9383 -1.6599 -1.9404 -2.0919
 259  0.869860  3.6796  1.4135  2.6357  0.5481 -1.0097 -1.7438 -2.0290 -2.1833
 260  0.869882  3.6779  1.3725  2.6700  0.5076 -1.0786 -1.8254 -2.1154 -2.2726
 261  0.869904  3.6762  1.3319  2.7039  0.4693 -1.1459 -1.9058 -2.2007 -2.3609
 262  0.869923  3.6746  1.2923  2.7369  0.4335 -1.2106 -1.9837 -2.2836 -2.4468
 263  0.869942  3.6730  1.2533  2.7695  0.3996 -1.2739 -2.0602 -2.3650 -2.5312
 264  0.869958  3.6714  1.2153  2.8012  0.3680 -1.3351 -2.1344 -2.4443 -2.6135
 265  0.869974  3.6698  1.1779  2.8323  0.3382 -1.3946 -2.2071 -2.5219 -2.6941
 266  0.869988  3.6683  1.1411  2.8629  0.3101 -1.4526 -2.2781 -2.5978 -2.7730
 267  0.870002  3.6668  1.1052  2.8928  0.2839 -1.5089 -2.3474 -2.6721 -2.8503
 268  0.870015  3.6653  1.0700  2.9221  0.2594 -1.5636 -2.4151 -2.7447 -2.9258
 269  0.870026  3.6638  1.0354  2.9507  0.2373 -1.6162 -2.4808 -2.8154 -2.9995
 270  0.870037  3.6623  1.0010  2.9791  0.2171 -1.6676 -2.5457 -2.8854 -3.0726
 271  0.870048  3.6608  0.9675  3.0067  0.1990 -1.7169 -2.6083 -2.9532 -3.1435
 272  0.870058  3.6593  0.9343  3.0339  0.1843 -1.7641 -2.6696 -3.0198 -3.2133
 273  0.870067  3.6578  0.9017  3.0604  0.1719 -1.8094 -2.7290 -3.0846 -3.2813
